Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
TXG,"10x Genomics, Inc.",58.69,$5.67B,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
YI,"111, Inc.",6.55,$537.49M,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",4.7,$28.51M,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",23.2,$16.24M,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,1.175,$36.57M,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn,
FLWS,"1-800-FLOWERS.COM, Inc.",12.35,$794.07M,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",7.5375,$36.76M,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow,
ONEM,"1Life Healthcare, Inc.",18.59,$2.34B,2020.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem,
FCCY,1st Constitution Bancorp (NJ),12.07,$122.94M,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,29.65,$756.83M,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",13.24,$1.49B,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",17.88,$1.14B,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",7.75,$1.17B,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,
KRKR,36Kr Holdings Inc.,4.13,$154.85M,2019.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr,
JOBS,"51job, Inc.",64.92,$4.34B,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,
ETNB,"89bio, Inc.",21.4,$295.08M,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb,
JFK,8i Enterprises Acquisition Corp,10.08,$74.87M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.4,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,10.5,$52.5M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,0.35,$2.01M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,14.06,$1.44B,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
JFU,9F Inc.,9.34,$1.81B,2019.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu,
AAON,"AAON, Inc.",44.91,$2.34B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,2.09,$174.77M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo,
ABMD,"ABIOMED, Inc.",141.4,$6.37B,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,0.1301,$21.91M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,7.51,$539.66M,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu,
